SignalTime,Instrument,Direction,Score,Strike,EntryPrice,ExpiryPrice,ExpiryTime,Result,Spread_pips,MAE_pips,MFE_pips
2026-06-04 12:15:00,EURJPY,BUY,+6,16,185.91800,186.02700,2026-06-04 13:15:00,WIN,1.5,4.0,11.3
2026-06-04 13:15:00,GBPJPY,BUY,+6,20,215.01200,215.06500,2026-06-04 14:15:00,WIN,1.5,0.3,12.4
2026-06-04 13:15:00,GBPUSD,BUY,+6,17,1.34514,1.34548,2026-06-04 14:15:00,WIN,1.5,0.2,11.0
2026-06-04 15:45:00,AUDJPY,BUY,+6,11,114.22000,114.15700,2026-06-04 16:45:00,LOSS,1.5,9.0,2.6
2026-06-04 15:45:00,GBPNZD,SELL,-7,31,2.28584,2.28516,2026-06-04 16:45:00,WIN,1.5,6.0,13.1
2026-06-04 16:30:00,USDJPY,BUY,+8,12,159.94300,159.99100,2026-06-04 17:30:00,WIN,1.5,0.0,8.5
2026-06-04 17:45:00,GBPUSD,SELL,-6,22,1.34310,1.34363,2026-06-04 18:45:00,LOSS,1.5,10.8,1.3
2026-06-04 19:45:00,GBPUSD,SELL,-6,21,1.34295,1.34263,2026-06-04 20:45:00,WIN,1.5,0.1,5.5
2026-06-04 21:15:01,USDCAD,BUY,+9,15,1.39026,1.39098,2026-06-04 22:15:01,WIN,1.5,1.8,8.6
2026-06-05 09:45:00,AUDJPY,BUY,+6,14,114.06500,114.11100,2026-06-05 10:45:00,WIN,1.5,3.4,7.6
2026-06-05 11:30:00,CADJPY,BUY,+7,11,115.22500,115.27900,2026-06-05 12:30:00,WIN,1.5,0.5,9.2
2026-06-05 12:15:00,EURGBP,SELL,-6,9,0.86419,0.86390,2026-06-05 13:15:00,WIN,1.5,0.2,6.5
2026-06-05 12:30:00,AUDUSD,BUY,+6,10,0.71423,0.71418,2026-06-05 13:30:00,LOSS,1.5,4.9,1.1
2026-06-05 12:30:00,EURCAD,BUY,+6,13,1.61500,1.61499,2026-06-05 13:30:00,LOSS,1.5,2.6,3.4
2026-06-05 20:30:01,USDCAD,BUY,+7,18,1.39458,1.39465,2026-06-05 21:30:01,LOSS,1.5,4.4,4.3
2026-06-05 23:00:01,EURCAD,SELL,-10,18,1.60507,0.00000,2026-06-06 00:00:01,INVALID,0.0,0.0,0.0
2026-06-05 23:00:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 00:00:01,INVALID,0.0,0.0,0.0
2026-06-06 01:00:01,EURCAD,SELL,-10,15,1.60507,0.00000,2026-06-06 02:00:01,INVALID,0.0,0.0,0.0
2026-06-06 01:00:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 02:00:01,INVALID,0.0,0.0,0.0
2026-06-06 03:15:02,EURCAD,SELL,-10,13,1.60507,0.00000,2026-06-06 04:15:02,INVALID,0.0,0.0,0.0
2026-06-06 03:15:02,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 04:15:02,INVALID,0.0,0.0,0.0
2026-06-06 05:30:02,EURCAD,SELL,-10,11,1.60507,0.00000,2026-06-06 06:30:02,INVALID,0.0,0.0,0.0
2026-06-06 05:30:02,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 06:30:02,INVALID,0.0,0.0,0.0
2026-06-06 07:45:01,EURCAD,SELL,-10,10,1.60507,0.00000,2026-06-06 08:45:01,INVALID,0.0,0.0,0.0
2026-06-06 07:45:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 08:45:01,INVALID,0.0,0.0,0.0
2026-06-06 10:00:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-06 11:00:01,INVALID,0.0,0.0,0.0
2026-06-06 10:00:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 11:00:01,INVALID,0.0,0.0,0.0
2026-06-06 12:15:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-06 13:15:01,INVALID,0.0,0.0,0.0
2026-06-06 12:15:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 13:15:01,INVALID,0.0,0.0,0.0
2026-06-06 14:30:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-06 15:30:01,INVALID,0.0,0.0,0.0
2026-06-06 14:30:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 15:30:01,INVALID,0.0,0.0,0.0
2026-06-06 16:30:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-06 17:30:01,INVALID,0.0,0.0,0.0
2026-06-06 16:30:02,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 17:30:02,INVALID,0.0,0.0,0.0
2026-06-06 18:45:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-06 19:45:01,INVALID,0.0,0.0,0.0
2026-06-06 18:45:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 19:45:01,INVALID,0.0,0.0,0.0
